ref_file,from_file,repo_name,from_file_dir
cli/endpoints/online/managed/sample/endpoint.yml,how-to-safely-rollout-online-endpoints.md,azureml-examples,machine-learning
cli/endpoints/online/managed/sample/endpoint.yml,reference-yaml-endpoint-online.md,azureml-examples,machine-learning
cli/endpoints/online/managed/sample/green-deployment.yml,reference-yaml-deployment-managed-online.md,azureml-examples,machine-learning
cli/endpoints/online/model-1/onlinescoring/score.py,how-to-deploy-online-endpoints.md,azureml-examples,machine-learning
cli/endpoints/online/model-1/onlinescoring/score.py,how-to-inference-server-http.md,azureml-examples,machine-learning
cli/endpoints/online/model-1/onlinescoring/score_managedidentity.py,how-to-access-resources-from-endpoints-managed-identities.md,azureml-examples,machine-learning
cli/endpoints/online/model-1/sample-request.json,how-to-access-resources-from-endpoints-managed-identities.md,azureml-examples,machine-learning
cli/endpoints/online/ncd/create-endpoint.yaml,how-to-deploy-mlflow-models-online-endpoints.md,azureml-examples,machine-learning
cli/endpoints/online/ncd/sample-request-sklearn.json,how-to-deploy-mlflow-models-online-endpoints.md,azureml-examples,machine-learning
cli/endpoints/online/ncd/sklearn-deployment.yaml,how-to-deploy-mlflow-models-online-endpoints.md,azureml-examples,machine-learning
cli/endpoints/online/ncd/sklearn-diabetes/environment/conda.yaml,how-to-deploy-mlflow-models-online-endpoints.md,azureml-examples,machine-learning
cli/endpoints/online/ncd/sklearn-diabetes/src/score.py,how-to-deploy-mlflow-models-online-endpoints.md,azureml-examples,machine-learning
cli/endpoints/online/triton/single-model/create-managed-deployment.yaml,how-to-deploy-with-triton.md,azureml-examples,machine-learning
cli/endpoints/online/triton/single-model/create-managed-endpoint.yaml,how-to-deploy-with-triton.md,azureml-examples,machine-learning
cli/jobs/automl-standalone-jobs/cli-automl-classification-task-bankmarketing/cli-automl-classification-task-bankmarketing-serverless.yml,how-to-use-serverless-compute.md,azureml-examples,machine-learning
cli/jobs/automl-standalone-jobs/cli-automl-text-classification-multilabel-paper-cat/cli-automl-text-classification-multilabel-paper-cat.yml,reference-automl-nlp-cli-multilabel-classification.md,azureml-examples,machine-learning
cli/jobs/automl-standalone-jobs/cli-automl-text-classification-newsgroup/cli-automl-text-classification-newsgroup.yml,reference-automl-nlp-cli-text-classification.md,azureml-examples,machine-learning
cli/jobs/automl-standalone-jobs/cli-automl-text-ner-conll-distributed-sweeping/cli-automl-text-ner-conll2003-distributed-sweeping.yml,reference-automl-nlp-cli-ner.md,azureml-examples,machine-learning
cli/jobs/automl-standalone-jobs/cli-automl-text-ner-conll/cli-automl-text-ner-conll2003.yml,reference-automl-nlp-cli-ner.md,azureml-examples,machine-learning
cli/jobs/basics/hello-code.yml,reference-yaml-job-command.md,azureml-examples,machine-learning
cli/jobs/basics/hello-iris-datastore-file.yml,reference-yaml-job-command.md,azureml-examples,machine-learning
cli/jobs/basics/hello-iris-datastore-folder.yml,reference-yaml-job-command.md,azureml-examples,machine-learning
cli/jobs/basics/hello-iris-file.yml,reference-yaml-job-command.md,azureml-examples,machine-learning
cli/jobs/basics/hello-iris-folder.yml,reference-yaml-job-command.md,azureml-examples,machine-learning
cli/jobs/basics/hello-model-as-input.yml,how-to-manage-models.md,azureml-examples,machine-learning
cli/jobs/basics/hello-model-as-output.yml,how-to-manage-models.md,azureml-examples,machine-learning
cli/jobs/basics/hello-notebook.yml,reference-yaml-job-command.md,azureml-examples,machine-learning
cli/jobs/basics/hello-pipeline-abc.yml,reference-yaml-job-pipeline.md,azureml-examples,machine-learning
cli/jobs/basics/hello-pipeline-io.yml,reference-yaml-job-pipeline.md,azureml-examples,machine-learning
cli/jobs/basics/hello-pipeline-settings.yml,reference-yaml-job-pipeline.md,azureml-examples,machine-learning
cli/jobs/basics/hello-pipeline.yml,reference-yaml-job-pipeline.md,azureml-examples,machine-learning
cli/jobs/basics/hello-sweep.yml,reference-yaml-job-sweep.md,azureml-examples,machine-learning
cli/jobs/basics/hello-world-env-var.yml,reference-yaml-job-command.md,azureml-examples,machine-learning
cli/jobs/basics/hello-world-input.yml,reference-yaml-job-command.md,azureml-examples,machine-learning
cli/jobs/basics/hello-world-org.yml,how-to-use-mlflow-cli-runs.md,azureml-examples,machine-learning
cli/jobs/basics/hello-world-org.yml,reference-yaml-job-command.md,azureml-examples,machine-learning
cli/jobs/basics/hello-world-output-data.yml,reference-yaml-job-command.md,azureml-examples,machine-learning
cli/jobs/basics/hello-world-output.yml,reference-yaml-job-command.md,azureml-examples,machine-learning
cli/jobs/basics/hello-world.yml,reference-yaml-job-command.md,azureml-examples,machine-learning
cli/jobs/basics/src/hello-mlflow.py,how-to-use-mlflow-cli-runs.md,azureml-examples,machine-learning
cli/jobs/pipelines-with-components/basics/1b_e2e_registered_components/pipeline-serverless.yml,how-to-use-serverless-compute.md,azureml-examples,machine-learning
cli/jobs/pipelines-with-components/basics/1b_e2e_registered_components/pipeline.yml,how-to-create-component-pipelines-cli.md,azureml-examples,machine-learning
cli/jobs/pipelines-with-components/basics/1b_e2e_registered_components/pipeline.yml,how-to-manage-inputs-outputs-pipeline.md,azureml-examples,machine-learning
cli/jobs/pipelines-with-components/basics/2a_basic_component/component.yml,reference-yaml-component-command.md,azureml-examples,machine-learning
cli/jobs/pipelines-with-components/basics/3b_pipeline_with_data/componentA.yml,how-to-create-component-pipelines-cli.md,azureml-examples,machine-learning
cli/jobs/pipelines-with-components/basics/3b_pipeline_with_data/pipeline.yml,how-to-create-component-pipelines-cli.md,azureml-examples,machine-learning
cli/jobs/pipelines-with-components/pipeline_with_hyperparameter_sweep/pipeline.yml,how-to-use-sweep-in-pipeline.md,azureml-examples,machine-learning
cli/jobs/pipelines-with-components/pipeline_with_hyperparameter_sweep/train-src/train.py,how-to-use-sweep-in-pipeline.md,azureml-examples,machine-learning
cli/jobs/pipelines-with-components/pipeline_with_hyperparameter_sweep/train.yml,how-to-use-sweep-in-pipeline.md,azureml-examples,machine-learning
cli/jobs/pipelines-with-components/pipeline_with_pipeline_component/pipeline_with_train_eval_pipeline_component/components/train_pipeline_component.yml,how-to-use-pipeline-component.md,azureml-examples,machine-learning
cli/jobs/pipelines-with-components/pipeline_with_pipeline_component/pipeline_with_train_eval_pipeline_component/pipeline.yml,how-to-use-pipeline-component.md,azureml-examples,machine-learning
cli/jobs/pipelines/automl/cli-automl-text-classification-multilabel-paper-categorization-pipeline/pipeline.yml,reference-automl-nlp-cli-multilabel-classification.md,azureml-examples,machine-learning
cli/jobs/pipelines/automl/cli-automl-text-classification-newsgroup-pipeline/pipeline.yml,reference-automl-nlp-cli-text-classification.md,azureml-examples,machine-learning
cli/jobs/pipelines/automl/cli-automl-text-ner-conll-pipeline/pipeline.yml,reference-automl-nlp-cli-ner.md,azureml-examples,machine-learning
cli/jobs/pipelines/cifar-10/job.yml,reference-yaml-job-pipeline.md,azureml-examples,machine-learning
cli/jobs/pipelines/iris-batch-prediction-using-parallel/pipeline.yml,how-to-use-parallel-job-in-pipeline.md,azureml-examples,machine-learning
cli/jobs/pipelines/iris-batch-prediction-using-parallel/pipeline.yml,reference-yaml-job-parallel.md,azureml-examples,machine-learning
cli/jobs/single-step/lightgbm/iris/job.yml,how-to-train-model.md,azureml-examples,machine-learning
cli/jobs/single-step/pytorch/cifar-distributed/job.yml,reference-yaml-job-command.md,azureml-examples,machine-learning
cli/jobs/single-step/r/iris/job.yml,reference-yaml-job-command.md,azureml-examples,machine-learning
cli/jobs/single-step/scikit-learn/iris/job-sweep.yml,reference-yaml-job-sweep.md,azureml-examples,machine-learning
cli/jobs/single-step/scikit-learn/iris/job.yml,reference-yaml-job-command.md,azureml-examples,machine-learning
cli/jobs/single-step/tensorflow/mnist-distributed/job.yml,reference-yaml-job-command.md,azureml-examples,machine-learning
cli/jobs/spark/attached-spark-pipeline-user-identity.yml,reference-yaml-component-spark.md,azureml-examples,machine-learning
cli/jobs/spark/attached-spark-standalone-managed-identity.yml,reference-yaml-job-spark.md,azureml-examples,machine-learning
cli/jobs/spark/serverless-spark-standalone-user-identity.yaml,reference-yaml-job-spark.md,azureml-examples,machine-learning
cli/jobs/spark/spark-job-component.yml,reference-yaml-component-spark.md,azureml-examples,machine-learning
cli/misc.sh,concept-azure-machine-learning-v2.md,azureml-examples,machine-learning
cli/misc.sh,how-to-configure-cli.md,azureml-examples,machine-learning
cli/misc.sh,how-to-deploy-automl-endpoint.md,azureml-examples,machine-learning
cli/monitoring/advanced-model-monitoring.yaml,how-to-monitor-model-performance.md,azureml-examples,machine-learning
cli/monitoring/advanced-model-monitoring.yaml,reference-yaml-monitor.md,azureml-examples,machine-learning
cli/monitoring/model-monitoring-with-collected-data.yaml,how-to-monitor-model-performance.md,azureml-examples,machine-learning
cli/monitoring/out-of-box-monitoring.yaml,how-to-monitor-model-performance.md,azureml-examples,machine-learning
cli/monitoring/out-of-box-monitoring.yaml,reference-yaml-monitor.md,azureml-examples,machine-learning
cli/resources/compute/cluster-basic.yml,reference-yaml-compute-aml.md,azureml-examples,machine-learning
cli/resources/compute/cluster-location.yml,how-to-create-attach-compute-cluster.md,azureml-examples,machine-learning
cli/resources/compute/cluster-location.yml,reference-yaml-compute-aml.md,azureml-examples,machine-learning
cli/resources/compute/cluster-low-priority.yml,how-to-create-attach-compute-cluster.md,azureml-examples,machine-learning
cli/resources/compute/cluster-low-priority.yml,reference-yaml-compute-aml.md,azureml-examples,machine-learning
cli/resources/compute/cluster-minimal.yml,reference-yaml-compute-aml.md,azureml-examples,machine-learning
cli/resources/compute/cluster-ssh-password.yml,reference-yaml-compute-aml.md,azureml-examples,machine-learning
cli/resources/compute/cluster-system-identity.yml,how-to-identity-based-service-authentication.md,azureml-examples,machine-learning
cli/resources/compute/cluster-user-identity.yml,how-to-identity-based-service-authentication.md,azureml-examples,machine-learning
cli/resources/compute/instance-basic.yml,how-to-create-compute-instance.md,azureml-examples,machine-learning
cli/resources/compute/instance-basic.yml,reference-yaml-compute-instance.md,azureml-examples,machine-learning
cli/resources/compute/instance-minimal.yml,reference-yaml-compute-instance.md,azureml-examples,machine-learning
cli/resources/compute/instance-schedule.yml,how-to-create-compute-instance.md,azureml-examples,machine-learning
cli/resources/compute/vm-attach.yml,reference-yaml-compute-vm.md,azureml-examples,machine-learning
cli/resources/connections/container-registry-managed-identity.yml,how-to-identity-based-service-authentication.md,azureml-examples,machine-learning
